x 	 y 	 
-2.861046 	 -0.835621 	 
-2.634888 	 -0.816392 	 
-2.623779 	 -1.034019 	 
-2.514213 	 -0.768587 	 
-2.648171 	 -0.593435 	 
-2.837340 	 -0.857741 	 
-2.774290 	 -0.553133 	 
-2.899413 	 -0.438229 	 
-2.751238 	 -0.634231 	 
-2.441764 	 -0.414957 	 
-2.380792 	 -0.536829 	 
-2.380127 	 -0.550280 	 
-2.446898 	 -0.335530 	 
-2.239277 	 -0.055407 	 
-2.221930 	 -0.116940 	 
-2.196566 	 -0.261078 	 
-2.205892 	 -0.412919 	 
-2.492559 	 -0.252634 	 
-2.311719 	 -0.109652 	 
-2.302069 	 -0.211927 	 
-2.432330 	 -0.291201 	 
-2.645530 	 -0.281158 	 
-2.624002 	 -0.283339 	 
-2.812217 	 -0.359661 	 
-2.849937 	 -0.332638 	 
-2.645921 	 -0.287041 	 
-2.645692 	 -0.273242 	 
-2.772531 	 -0.225585 	 
-3.029900 	 -0.378525 	 
-3.285060 	 -0.237332 	 
-3.087803 	 -0.154178 	 
-3.193242 	 -0.051021 	 
-3.286479 	 -0.095029 	 
-3.120969 	 0.248353 	 
-3.269821 	 0.264326 	 
-3.012261 	 0.254875 	 
-2.853926 	 0.378646 	 
-3.089716 	 0.246150 	 
-3.364839 	 0.179801 	 
-3.436182 	 0.231143 	 
-3.337261 	 0.038374 	 
-3.341720 	 0.025029 	 
-3.075069 	 0.141309 	 
-2.983468 	 0.237110 	 
-2.798167 	 0.310254 	 
-2.905670 	 0.150474 	 
-2.561763 	 -0.001195 	 
-2.730574 	 0.054008 	 
-2.727628 	 -0.075822 	 
-2.830798 	 0.230353 	 
-2.947922 	 0.364311 	 
-2.931844 	 0.162391 	 
-3.086498 	 0.084233 	 
-3.280524 	 0.154330 	 
-3.358476 	 0.155258 	 
-3.032975 	 0.092441 	 
-3.313325 	 0.037796 	 
-3.316909 	 -0.092957 	 
-3.217065 	 0.045753 	 
-2.898293 	 0.064613 	 
-3.135581 	 0.082436 	 
-3.304410 	 0.052260 	 
-3.093611 	 0.273884 	 
-3.306382 	 0.215705 	 
-3.374837 	 0.452856 	 
-3.215098 	 0.522070 	 
-3.239015 	 0.586555 	 
-3.265636 	 0.898505 	 
-3.018391 	 0.786250 	 
-2.989684 	 0.732153 	 
-2.863126 	 0.840505 	 
-2.942309 	 0.867208 	 
-2.931334 	 0.970787 	 
-2.875846 	 1.143221 	 
-2.880086 	 0.977125 	 
-2.815756 	 0.880477 	 
-2.864151 	 0.517857 	 
-2.600781 	 0.570818 	 
-2.589854 	 0.497335 	 
-2.680643 	 0.582220 	 
-2.947218 	 0.456947 	 
-2.825224 	 0.449149 	 
-2.741997 	 0.577399 	 
-2.765240 	 0.547557 	 
-2.839001 	 0.801636 	 
-2.957861 	 0.751793 	 
-3.038365 	 0.755996 	 
-3.253663 	 0.612497 	 
-3.251091 	 0.583437 	 
-3.371134 	 0.507041 	 
-3.459266 	 0.635553 	 
-3.450610 	 0.622058 	 
-3.489707 	 0.593888 	 
-3.716017 	 0.581217 	 
-3.801038 	 0.537536 	 
-3.949064 	 0.693235 	 
-3.877624 	 0.522866 	 
-3.827729 	 0.455227 	 
-3.855312 	 0.607331 	 
-3.815154 	 0.755343 	 
-3.792252 	 0.701770 	 
-3.826133 	 0.677610 	 
-3.607012 	 0.697852 	 
-3.761787 	 0.655658 	 
-3.723075 	 0.770760 	 
-3.577887 	 0.842983 	 
-3.593615 	 0.685918 	 
-3.524587 	 0.499179 	 
-3.356373 	 0.305748 	 
-3.254440 	 0.078588 	 
-3.359288 	 0.001440 	 
-3.400292 	 0.282540 	 
-3.261912 	 0.100888 	 
-3.369579 	 0.083535 	 
-3.280683 	 0.218642 	 
-3.103065 	 0.102444 	 
-2.922015 	 0.320719 	 
-2.904073 	 0.250111 	 
-2.936971 	 0.273588 	 
-3.072429 	 0.359575 	 
-2.904139 	 0.464654 	 
-2.981689 	 0.534829 	 
-2.918635 	 0.674791 	 
-2.873769 	 0.422780 	 
-2.773583 	 0.118706 	 
-2.867294 	 0.077305 	 
-2.929480 	 0.162261 	 
-2.974983 	 0.161436 	 
-2.987262 	 0.200038 	 
-3.007724 	 0.207592 	 
-3.099738 	 0.181260 	 
-3.174689 	 0.316137 	 
-3.177209 	 0.204019 	 
-3.052985 	 0.077901 	 
-2.762754 	 0.113635 	 
-2.786938 	 0.066724 	 
-2.572930 	 -0.131597 	 
-2.489313 	 0.060894 	 
-2.474852 	 0.080780 	 
-2.412684 	 0.104759 	 
-2.364531 	 0.504496 	 
-2.512411 	 0.552447 	 
-2.585419 	 0.611237 	 
-2.549820 	 0.783764 	 
-2.893743 	 0.864764 	 
-2.855076 	 1.098768 	 
-2.965043 	 1.289100 	 
-3.102160 	 1.321185 	 
-3.218111 	 1.112205 	 
-3.032028 	 1.204077 	 
-3.038245 	 1.133673 	 
-3.154198 	 1.269812 	 
-3.071905 	 1.307384 	 
-3.111740 	 1.243797 	 
-3.355149 	 1.051868 	 
-3.240307 	 0.861144 	 
-3.019911 	 0.810690 	 
-2.711157 	 0.817686 	 
-2.522395 	 0.820829 	 
-2.554932 	 0.996515 	 
-2.624226 	 0.962534 	 
-2.759184 	 0.754757 	 
-2.826402 	 0.973823 	 
-2.627028 	 0.953112 	 
-2.352901 	 0.903083 	 
-2.508706 	 0.883345 	 
-2.786904 	 0.873116 	 
-2.834748 	 1.006290 	 
-2.539598 	 0.798204 	 
-2.710516 	 0.794644 	 
-2.532009 	 1.102805 	 
-2.536245 	 1.066291 	 
-2.538013 	 0.920832 	 
-2.582661 	 1.410783 	 
-2.424280 	 1.411460 	 
-2.412553 	 1.273503 	 
-2.550575 	 1.086348 	 
-2.795002 	 1.208121 	 
-2.909374 	 1.283248 	 
-2.935227 	 1.400624 	 
-2.791429 	 1.511139 	 
-2.898041 	 1.593566 	 
-2.866215 	 1.499644 	 
-2.959841 	 1.619577 	 
-3.162037 	 1.589867 	 
-3.197589 	 1.734232 	 
-3.382039 	 1.631933 	 
-3.695680 	 1.688510 	 
-3.765022 	 1.616667 	 
-3.655797 	 1.562860 	 
-3.697356 	 1.425827 	 
-4.011322 	 1.206545 	 
-4.045312 	 0.995226 	 
-3.988023 	 1.335116 	 
-4.022198 	 1.801673 	 
-3.984672 	 1.676799 	 
-3.868918 	 1.757096 	 
-3.968516 	 1.648966 	 
-4.033014 	 1.625177 	 
-3.854316 	 1.263495 	 
-4.007889 	 1.359166 	 
-4.016067 	 1.380979 	 
-3.968284 	 1.316469 	 
-3.648859 	 1.218533 	 
-3.739140 	 1.125394 	 
-3.814827 	 1.306964 	 
-3.839857 	 1.200501 	 
-3.677773 	 1.274672 	 
-3.816232 	 1.314971 	 
-3.595863 	 1.251384 	 
-3.482457 	 1.091343 	 
-3.542915 	 1.030783 	 
-3.638218 	 1.054060 	 
-3.477448 	 1.192607 	 
-3.657994 	 1.000471 	 
-3.893965 	 0.881468 	 
-3.972853 	 1.007292 	 
-3.932233 	 0.640868 	 
-3.976049 	 0.830922 	 
-3.976799 	 0.668160 	 
-3.860859 	 0.564983 	 
-3.916526 	 0.906783 	 
-3.874454 	 0.991394 	 
-3.996621 	 1.125314 	 
-4.003769 	 1.359471 	 
-4.133175 	 1.241866 	 
-4.236130 	 1.173888 	 
-4.459925 	 1.432463 	 
-4.550449 	 1.313886 	 
-4.410770 	 1.496549 	 
-4.330985 	 1.581151 	 
-4.139147 	 1.598017 	 
-4.070904 	 1.473953 	 
-4.058915 	 1.540677 	 
-3.940244 	 1.588866 	 
-3.967652 	 1.662521 	 
-4.221334 	 1.861675 	 
-3.900416 	 2.045289 	 
-3.725521 	 1.927580 	 
-3.736550 	 2.045306 	 
-3.785641 	 2.226565 	 
-3.938806 	 2.444934 	 
-3.885247 	 2.224017 	 
-3.784605 	 2.132785 	 
-3.841695 	 2.150857 	 
-3.923698 	 2.124310 	 
-3.843661 	 1.710467 	 
-3.865714 	 1.792136 	 
-4.006357 	 1.928795 	 
-4.189274 	 1.800105 	 
-4.001212 	 1.634494 	 
-4.078233 	 1.765368 	 
-4.102705 	 1.768467 	 
-3.647395 	 1.646424 	 
-3.641258 	 1.807241 	 
-3.392220 	 1.851128 	 
-3.165966 	 1.678502 	 
-3.238744 	 1.578907 	 
-3.243069 	 1.671898 	 
-3.106099 	 1.518985 	 
-3.036319 	 1.597530 	 
-3.006035 	 1.525033 	 
-2.921351 	 1.499610 	 
-2.858977 	 1.418985 	 
-2.834368 	 1.401512 	 
-2.886458 	 1.500279 	 
-2.911100 	 1.617648 	 
-2.936327 	 1.711315 	 
-3.013972 	 1.575387 	 
